#{"t_start": 1619005243.981649, "env_id": "MotorTiming-v0"}
r,l,t
39.0,928,101.916367
40.0,987,104.600466
40.0,974,587.861285
40.0,997,590.454504
40.0,1068,597.04368
39.0,1559,605.216908
39.0,1678,614.424067
39.0,1675,619.131908
40.0,1691,627.84874
40.0,1789,636.665707
40.0,971,643.203165
39.0,998,646.188342
39.0,959,652.738694
40.0,1009,655.552133
38.0,1069,662.572955
36.0,1639,667.322269
39.0,1587,676.134202
40.0,1675,684.965576
40.0,1716,693.636407
39.0,1761,702.759629
40.0,937,705.24112
40.0,930,711.687634
40.0,1000,714.456122
40.0,1012,721.144332
40.0,1094,724.330683
40.0,1580,732.366441
39.0,1597,740.544007
39.0,1634,748.768781
38.0,1698,758.284566
38.0,1738,763.686342
40.0,917,770.482554
40.0,970,773.429774
40.0,1035,779.870676
39.0,997,782.64568
40.0,1054,789.430443
40.0,1635,798.029063
40.0,1639,806.248687
40.0,1673,810.848603
40.0,1714,819.497153
38.0,1778,828.150831
39.0,883,834.052459
36.0,965,836.651085
39.0,1039,843.654062
40.0,1071,846.948287
33.0,1134,854.551867
40.0,1557,862.351777
40.0,1668,867.091263
37.0,1639,875.541203
40.0,1693,885.82462
40.0,1739,895.162754
39.0,925,897.721563
40.0,1001,904.628389
39.0,1027,907.609701
40.0,1067,914.635917
39.0,1107,917.727784
39.0,1551,925.679185
39.0,1593,933.981088
38.0,1695,942.480356
39.0,1746,950.92603
36.0,1786,959.710031
40.0,952,962.505394
39.0,1009,969.430024
39.0,953,972.214926
39.0,1041,978.950096
40.0,1097,982.036545
37.0,1605,990.407246
40.0,1603,998.888953
40.0,1694,1007.787838
36.0,1665,1012.224994
32.0,1723,1020.960542
38.0,951,1027.60603
40.0,1005,1030.441619
39.0,1007,1036.797462
40.0,1027,1039.589438
38.0,1127,1046.229945
40.0,1553,1054.369606
39.0,1677,1059.177835
39.0,1701,1067.548624
40.0,1721,1075.870685
39.0,1738,1084.459761
36.0,958,1090.917347
37.0,943,1093.547443
38.0,1050,1100.005426
38.0,1067,1102.922054
40.0,1036,1109.4661
40.0,1636,1114.112507
36.0,1639,1122.177263
40.0,1635,1129.874145
40.0,1687,1137.953172
40.0,1737,1146.331921
39.0,912,1148.801954
38.0,964,1155.035837
40.0,998,1157.783652
40.0,1049,1164.341023
40.0,1102,1167.413256
36.0,1581,1175.561842
40.0,1604,1183.626613
40.0,1687,1191.993308
37.0,1741,1201.023865
40.0,1711,1205.928477
40.0,881,1211.781797
39.0,945,1214.383605
38.0,982,1220.712824
34.0,1035,1223.644248
37.0,1081,1230.703908
40.0,1589,1238.880211
40.0,1613,1243.236662
39.0,1622,1251.3612
39.0,1711,1260.009373
39.0,1782,1268.928515
40.0,949,1275.157352
40.0,1006,1277.896192
40.0,1043,1284.346378
40.0,1058,1287.197718
40.0,1069,1293.380109
40.0,1601,1297.629216
40.0,1591,1305.606204
39.0,1626,1315.408448
37.0,1703,1324.058048
39.0,1773,1332.71595
39.0,930,1335.258492
40.0,932,1341.548282
40.0,964,1344.214545
40.0,1016,1350.794185
39.0,1113,1353.98795
39.0,1552,1361.934033
39.0,1614,1370.048648
39.0,1648,1378.261987
39.0,1661,1382.937019
40.0,1752,1391.343228
39.0,916,1397.726434
39.0,913,1400.281517
39.0,1003,1406.619205
40.0,1007,1409.389047
40.0,1097,1416.173364
40.0,1573,1424.267612
40.0,1607,1428.692559
40.0,1673,1437.105942
40.0,1742,1445.62785
38.0,1778,1454.248466
39.0,892,1456.65031
39.0,970,1463.110052
38.0,1023,1465.890241
39.0,1069,1472.646645
39.0,1124,1479.383924
40.0,1570,1483.783716
39.0,1642,1491.995172
39.0,1678,1500.39581
40.0,1693,1508.778276
37.0,1697,1517.134802
38.0,909,1519.652211
39.0,1005,1526.105598
40.0,976,1528.812966
37.0,1044,1535.618992
40.0,1106,1538.739763
40.0,1566,1547.000653
40.0,1632,1555.320547
40.0,1670,1563.682296
34.0,1656,1568.289762
38.0,1722,1576.853995
40.0,905,1583.133654
40.0,1011,1585.979784
39.0,958,1592.473348
39.0,1087,1595.514563
38.0,1135,1602.61929
40.0,1612,1610.906203
40.0,1598,1615.41122
40.0,1657,1623.905689
39.0,1710,1632.307769
38.0,1734,1640.782214
39.0,903,1643.199754
39.0,987,1649.543433
40.0,1018,1652.213188
40.0,1061,1659.110802
40.0,1034,1665.659361
40.0,1579,1670.084294
39.0,1587,1678.556623
40.0,1700,1687.313262
39.0,1656,1695.652181
40.0,1739,1704.177193
40.0,977,1706.886866
35.0,972,1713.295372
40.0,1030,1716.171603
38.0,1021,1722.633158
40.0,1095,1725.689246
38.0,1621,1733.911978
39.0,1625,1742.284709
40.0,1709,1750.686655
40.0,1715,1759.175381
39.0,1782,1764.400019
40.0,905,1770.783815
40.0,980,1773.453902
40.0,962,1780.19733
39.0,1069,1783.086201
38.0,1088,1789.846088
39.0,1596,1797.928034
39.0,1660,1806.166171
39.0,1690,1810.815929
40.0,1736,1819.355916
40.0,1725,1827.85342
39.0,880,1833.90635
39.0,1018,1836.784362
40.0,971,1843.223516
40.0,1043,1846.154218
40.0,1110,1852.963396
36.0,1573,1857.34869
39.0,1595,1865.645882
40.0,1630,1873.96339
40.0,1709,1882.371332
40.0,1719,1890.742343
40.0,913,1893.284667
38.0,938,1899.582641
40.0,1023,1902.406631
39.0,1005,1908.883994
40.0,1043,1911.795003
40.0,1552,1919.817193
39.0,1661,1928.257673
40.0,1707,1936.838012
39.0,1662,1945.234672
39.0,1755,1950.071463
40.0,908,1957.070454
36.0,963,1959.996986
39.0,1020,1966.962702
40.0,1019,1969.762828
39.0,1072,1976.625251
39.0,1557,1984.809326
38.0,1661,1989.388802
37.0,1669,1998.235542
37.0,1711,2007.117418
33.0,1699,2016.239926
40.0,972,2022.468026
37.0,955,2025.653957
40.0,1002,2028.324442
40.0,1031,2035.058292
38.0,1076,2041.723992
33.0,1568,2046.121156
40.0,1666,2054.422845
40.0,1662,2062.852973
40.0,1724,2071.35526
39.0,1786,2079.969664
39.0,920,2082.553109
39.0,1004,2089.064378
39.0,1040,2091.994212
39.0,995,2098.447926
39.0,1105,2101.508229
39.0,1565,2109.574377
40.0,1655,2117.946833
40.0,1674,2126.448178
39.0,1692,2134.992871
38.0,1767,2139.916377
38.0,938,2146.457761
36.0,936,2149.098377
38.0,1054,2155.947964
40.0,1069,2158.933828
40.0,1072,2165.797939
40.0,1605,2174.189393
39.0,1591,2182.386367
40.0,1675,2187.120299
39.0,1660,2195.730198
39.0,1713,2204.395144
40.0,940,2210.70026
40.0,922,2213.361552
40.0,977,2219.767218
40.0,1046,2222.83744
40.0,1121,2229.780262
40.0,1555,2234.197332
40.0,1660,2242.679829
38.0,1694,2251.026658
39.0,1734,2259.737678
37.0,1708,2268.402601
40.0,878,2270.84266
36.0,1011,2277.343393
36.0,964,2280.006374
38.0,1082,2286.851974
40.0,1092,2289.961714
40.0,1602,2298.965615
37.0,1673,2307.525953
39.0,1625,2315.834704
40.0,1727,2324.411685
40.0,1702,2329.158752
39.0,974,2335.805522
40.0,934,2338.360661
40.0,1042,2345.117481
40.0,1039,2347.984576
34.0,1085,2354.936435
39.0,1614,2363.238728
39.0,1587,2371.449209
38.0,1626,2376.080439
38.0,1738,2384.84863
39.0,1746,2393.604132
40.0,962,2400.080581
40.0,920,2402.703751
39.0,977,2409.166443
40.0,1049,2412.184092
35.0,1086,2419.045137
40.0,1576,2423.51427
38.0,1646,2431.961069
38.0,1733,2440.621594
40.0,1665,2449.174806
40.0,1795,2458.260959
40.0,942,2461.131455
38.0,951,2467.743653
36.0,1027,2470.711792
40.0,997,2477.450639
40.0,1065,2480.470468
36.0,1553,2488.744274
40.0,1674,2497.262045
38.0,1650,2505.804219
39.0,1723,2514.668897
40.0,1713,2523.304393
37.0,922,2525.994572
39.0,997,2528.752911
40.0,965,2535.401618
40.0,1029,2538.209551
40.0,1129,2545.238572
40.0,1628,2553.490014
40.0,1613,2561.841513
39.0,1699,2566.640515
40.0,1665,2575.293948
39.0,1696,2583.895158
36.0,879,2590.100257
36.0,966,2592.859295
40.0,963,2599.178917
40.0,1060,2602.1587
38.0,1071,2608.912482
40.0,1546,2613.173687
39.0,1592,2621.413952
40.0,1677,2629.927732
39.0,1701,2638.405969
40.0,1729,2646.855233
29.0,946,2649.428485
37.0,956,2655.881128
40.0,1020,2658.642442
38.0,1078,2665.415173
38.0,1116,2668.499573
39.0,1576,2676.683471
37.0,1609,2684.944491
38.0,1682,2693.333219
39.0,1715,2701.896742
37.0,1753,2706.841962
40.0,932,2713.312423
40.0,998,2716.06275
39.0,979,2722.665277
40.0,1056,2725.566868
38.0,1045,2732.355599
39.0,1613,2740.628357
39.0,1659,2749.159766
40.0,1694,2754.095822
40.0,1666,2762.668075
39.0,1699,2771.244284
40.0,940,2777.657903
38.0,978,2780.486706
40.0,983,2787.014411
39.0,1061,2790.106808
39.0,1098,2797.129071
40.0,1567,2801.630129
39.0,1623,2810.120112
37.0,1653,2818.713884
40.0,1683,2827.443403
40.0,1711,2836.231111
38.0,925,2838.844564
38.0,990,2845.580303
40.0,1021,2848.486673
33.0,1041,2855.33678
40.0,1100,2858.463533
40.0,1557,2866.760676
40.0,1671,2875.358938
39.0,1682,2883.975775
40.0,1692,2892.501014
39.0,1722,2901.078069
39.0,909,2903.729668
37.0,1008,2906.520218
39.0,1014,2913.274708
37.0,1043,2919.924259
40.0,1086,2923.053298
